192.168.83.173	2014-09-04	10:05:17	/products.html
192.168.130.175	2014-09-04	10:09:13	/products/296.html
192.168.130.175	2014-09-04	10:25:01	/index.html
192.168.138.244	2014-09-04	10:29:37	/products.html
192.168.83.173	2014-09-04	11:00:00	/products/004.html
192.168.130.175	2014-09-04	11:01:20	/products/296.html
192.168.138.244	2014-09-04	11:22:49	/products.html
192.168.138.244	2014-09-04	11:23:00	/index.html
192.168.83.173	2014-09-04	12:19:55	/products/560.html
192.168.130.175	2014-09-04	12:24:24	/products/004.html
