192.168.102.234	2014-09-05	10:15:43	/products/176.html
192.168.247.9	2014-09-05	10:19:15	/about.html
192.168.201.51	2014-09-05	10:23:49	/products/137.html
192.168.191.240	2014-09-05	10:29:00	/about.html
192.168.102.234	2014-09-05	10:46:36	/products/965.html
192.168.201.51	2014-09-05	10:48:39	/products/057.html
192.168.247.9	2014-09-05	10:55:13	/products/119.html
192.168.191.240	2014-09-05	11:01:48	/products/176.html
192.168.191.240	2014-09-05	11:11:20	/products/117.html
192.168.191.240	2014-09-05	11:56:50	/about.html
192.168.247.9	2014-09-05	12:00:00	/products/707.html
192.168.201.51	2014-09-05	12:00:03	/products/696.html
192.168.201.51	2014-09-05	12:02:54	/products/119.html
192.168.247.9	2014-09-05	12:15:36	/products/137.html
192.168.230.172	2014-09-05	12:32:26	/products/707.html
192.168.102.234	2014-09-05	12:47:01	/products/965.html
192.168.230.172	2014-09-05	12:48:29	/products/949.html
192.168.191.240	2014-09-05	12:50:19	/about.html
192.168.230.172	2014-09-05	12:54:05	/about.html
192.168.102.234	2014-09-05	12:54:31	/products/278.html
192.168.230.172	2014-09-05	13:08:16	/products/696.html
192.168.247.9	2014-09-05	13:16:18	/products/965.html
192.168.201.51	2014-09-05	13:19:49	/products/117.html
192.168.247.9	2014-09-05	13:27:18	/products/117.html
192.168.230.172	2014-09-05	13:28:13	/products/696.html
192.168.247.9	2014-09-05	13:28:41	/products/176.html
192.168.247.9	2014-09-05	13:29:57	/about.html
192.168.191.240	2014-09-05	13:32:02	/products/278.html
192.168.102.234	2014-09-05	13:33:30	/products/696.html
192.168.247.9	2014-09-05	13:48:29	/products/117.html
192.168.102.234	2014-09-05	13:50:47	/products/949.html
192.168.230.172	2014-09-05	14:05:28	/index.html
192.168.247.9	2014-09-05	14:22:25	/products/965.html
192.168.201.51	2014-09-05	14:31:48	/index.html
192.168.191.240	2014-09-05	14:40:25	/products/278.html
192.168.230.172	2014-09-05	14:40:50	/products/117.html
192.168.201.51	2014-09-05	14:50:55	/products/176.html
192.168.201.51	2014-09-05	14:56:39	/products/057.html
192.168.247.9	2014-09-05	15:03:17	/products/119.html
192.168.191.240	2014-09-05	15:09:01	/index.html
192.168.191.240	2014-09-05	15:15:14	/products/117.html
192.168.191.240	2014-09-05	15:27:31	/products/057.html
192.168.191.240	2014-09-05	15:27:52	/products/278.html
192.168.247.9	2014-09-05	15:30:32	/products/641.html
192.168.247.9	2014-09-05	15:31:04	/index.html
192.168.201.51	2014-09-05	15:47:17	/products/117.html
192.168.191.240	2014-09-05	15:50:49	/products/176.html
192.168.201.51	2014-09-05	15:52:48	/products/137.html
192.168.230.172	2014-09-05	15:54:52	/products/176.html
192.168.201.51	2014-09-05	15:59:14	/products/119.html
